group_id,class name
3475f6d0-6f23-11f0-a57b-db3a0303b78c,Ms. Johnson's Pre-K 3
34862370-6f23-11f0-a57b-db3a0303b78c,Mr. Williams's Pre-K 4
34953ea0-6f23-11f0-a57b-db3a0303b78c,Ms. Smith's Pre-K 3
34a7b530-6f23-11f0-a57b-db3a0303b78c,Mr. Brown's Pre-K 4
34ba79e0-6f23-11f0-a57b-db3a0303b78c,Ms. Davis's Pre-K 3
34cc5430-6f23-11f0-a57b-db3a0303b78c,Ms. Miller's Pre-K 4
34e3fae0-6f23-11f0-a57b-db3a0303b78c,Mr. Wilson's Pre-K 3
34f75bd0-6f23-11f0-a57b-db3a0303b78c,Ms. Moore's Pre-K 4
3505dac0-6f23-11f0-a57b-db3a0303b78c,Ms. Taylor's Pre-K 3
351bd3c0-6f23-11f0-a57b-db3a0303b78c,Mr. Anderson's Pre-K 4
352ceac0-6f23-11f0-a57b-db3a0303b78c,Ms. Thomas's Pre-K 3
6676a1e0-6f21-11f0-8e9a-05791d73c91b,Mr. Jackson's Pre-K 4
6686f590-6f21-11f0-8e9a-05791d73c91b,Ms. White's Pre-K 3
6694ff50-6f21-11f0-8e9a-05791d73c91b,Ms. Harris's Pre-K 4
66a68b80-6f21-11f0-8e9a-05791d73c91b,Mr. Martin's Pre-K 3
66b7a280-6f21-11f0-8e9a-05791d73c91b,Ms. Thompson's Pre-K 4
66c759f0-6f21-11f0-8e9a-05791d73c91b,Mr. Garcia's Pre-K 3
66d58ac0-6f21-11f0-8e9a-05791d73c91b,Ms. Martinez's Pre-K 4
66f40f40-6f21-11f0-8e9a-05791d73c91b,Ms. Robinson's Pre-K 3
67039fa0-6f21-11f0-8e9a-05791d73c91b,Mr. Clark's Pre-K 4
67133000-6f21-11f0-8e9a-05791d73c91b,Ms. Rodriguez's Pre-K 3
67227240-6f21-11f0-8e9a-05791d73c91b,Mr. Lewis's Pre-K 4
67344c90-6f21-11f0-8e9a-05791d73c91b,Ms. Lee's Pre-K 3
6744ee60-6f21-11f0-8e9a-05791d73c91b,Ms. Walker's Pre-K 4
675430a0-6f21-11f0-8e9a-05791d73c91b,Mr. Hall's Pre-K 3
6763e810-6f21-11f0-8e9a-05791d73c91b,Ms. Allen's Pre-K 4
67715590-6f21-11f0-8e9a-05791d73c91b,Mr. Young's Pre-K 3
678049b0-6f21-11f0-8e9a-05791d73c91b,Ms. Hernandez's Pre-K 4
678db730-6f21-11f0-8e9a-05791d73c91b,Ms. King's Pre-K 3
679c5d30-6f21-11f0-8e9a-05791d73c91b,Mr. Wright's Pre-K 4
7d3c2430-6f22-11f0-aa2f-b794bf50bd84,Ms. Lopez's Pre-K 3
7d4ee8e0-6f22-11f0-aa2f-b794bf50bd84,Mr. Hill's Pre-K 4
7d61d4a0-6f22-11f0-aa2f-b794bf50bd84,Ms. Scott's Pre-K 3
7d70a1b0-6f22-11f0-aa2f-b794bf50bd84,Ms. Green's Pre-K 4
7d7ed280-6f22-11f0-aa2f-b794bf50bd84,Mr. Adams's Pre-K 3
7d8ed810-6f22-11f0-aa2f-b794bf50bd84,Ms. Baker's Pre-K 4
7d9e8f80-6f22-11f0-aa2f-b794bf50bd84,Mr. Gonzalez's Pre-K 3
7db1c960-6f22-11f0-aa2f-b794bf50bd84,Ms. Nelson's Pre-K 4
7dcb6be0-6f22-11f0-aa2f-b794bf50bd84,Ms. Carter's Pre-K 3
d883e8a0-6f22-11f0-9fb7-c9820344261a,Mr. Mitchell's Pre-K 4
d8937900-6f22-11f0-9fb7-c9820344261a,Ms. Perez's Pre-K 3
d8a49000-6f22-11f0-9fb7-c9820344261a,Mr. Roberts's Pre-K 4
d8b42060-6f22-11f0-9fb7-c9820344261a,Ms. Turner's Pre-K 3
d8c25130-6f22-11f0-9fb7-c9820344261a,Ms. Phillips's Pre-K 4
d8d0f730-6f22-11f0-9fb7-c9820344261a,Mr. Campbell's Pre-K 3
d8df9d30-6f22-11f0-9fb7-c9820344261a,Ms. Parker's Pre-K 4
d8eff0e0-6f22-11f0-9fb7-c9820344261a,Mr. Evans's Pre-K 3
d8fe6fd0-6f22-11f0-9fb7-c9820344261a,Ms. Edwards's Pre-K 4
d90d8b00-6f22-11f0-9fb7-c9820344261a,Ms. Collins's Pre-K 3
d923d220-6f22-11f0-9fb7-c9820344261a,Mr. Stewart's Pre-K 4
d9329f30-6f22-11f0-9fb7-c9820344261a,Ms. Sanchez's Pre-K 3
d942a4c0-6f22-11f0-9fb7-c9820344261a,Mr. Morris's Pre-K 4
d950fca0-6f22-11f0-9fb7-c9820344261a,Ms. Rogers's Pre-K 3
d9632510-6f22-11f0-9fb7-c9820344261a,Ms. Reed's Pre-K 4
d9721930-6f22-11f0-9fb7-c9820344261a,Mr. Cook's Pre-K 3
d97f5fa0-6f22-11f0-9fb7-c9820344261a,Ms. Morgan's Pre-K 4
d98e7ad0-6f22-11f0-9fb7-c9820344261a,Mr. Bell's Pre-K 3
d99ece80-6f22-11f0-9fb7-c9820344261a,Ms. Murphy's Pre-K 4
d9b47960-6f22-11f0-9fb7-c9820344261a,Ms. Bailey's Pre-K 3
f9c449c0-6f21-11f0-8e9a-05791d73c91b,Mr. Rivera's Pre-K 4
f9d44f50-6f21-11f0-8e9a-05791d73c91b,Ms. Cooper's Pre-K 3
f9e23200-6f21-11f0-8e9a-05791d73c91b,Mr. Richardson's Pre-K 4
f9f3e540-6f21-11f0-8e9a-05791d73c91b,Ms. Cox's Pre-K 3
fa02b250-6f21-11f0-8e9a-05791d73c91b,Ms. Howard's Pre-K 4
fa12def0-6f21-11f0-8e9a-05791d73c91b,Mr. Ward's Pre-K 3
fa215de0-6f21-11f0-8e9a-05791d73c91b,Ms. Torres's Pre-K 4
fa2f1980-6f21-11f0-8e9a-05791d73c91b,Mr. Peterson's Pre-K 3
