school_id,school name
3464dfd0-6f23-11f0-a57b-db3a0303b78c,Silver Creek Early Childhood Center
34668d80-6f23-11f0-a57b-db3a0303b78c,Lakeview Head Start
3467c600-6f23-11f0-a57b-db3a0303b78c,Blue Ridge Early Childhood Center
3468d770-6f23-11f0-a57b-db3a0303b78c,Hazelwood Elementary School
3469e8e0-6f23-11f0-a57b-db3a0303b78c,Elmwood Head Start
665de9c0-6f21-11f0-8e9a-05791d73c91b,Brookside Early Childhood Center
665fbe80-6f21-11f0-8e9a-05791d73c91b,Bayview Elementary School
6660a8e0-6f21-11f0-8e9a-05791d73c91b,Clearwater Head Start
6661ba50-6f21-11f0-8e9a-05791d73c91b,Red Rock Elementary School
6662a4b0-6f21-11f0-8e9a-05791d73c91b,Ironwood Early Childhood Center
6663b620-6f21-11f0-8e9a-05791d73c91b,Oceanview Elementary School
6664a080-6f21-11f0-8e9a-05791d73c91b,Hazelwood Head Start
6665b1f0-6f21-11f0-8e9a-05791d73c91b,Lakeview Elementary School
66669c50-6f21-11f0-8e9a-05791d73c91b,Birchwood Early Childhood Center
6667adc0-6f21-11f0-8e9a-05791d73c91b,Willowbrook Elementary School
7d2dcc50-6f22-11f0-aa2f-b794bf50bd84,Ridgeview Head Start
7d314ec0-6f22-11f0-aa2f-b794bf50bd84,Driftwood Early Childhood Center
d8684a50-6f22-11f0-9fb7-c9820344261a,Lakewood Elementary School
d869d0f0-6f22-11f0-9fb7-c9820344261a,White Oak Head Start
d86ae260-6f22-11f0-9fb7-c9820344261a,Northgate Early Childhood Center
d86bf3d0-6f22-11f0-9fb7-c9820344261a,Birchwood Elementary School
d86d0540-6f22-11f0-9fb7-c9820344261a,Skyview Head Start
d86defa0-6f22-11f0-9fb7-c9820344261a,Southfield Elementary School
d86f4f30-6f22-11f0-9fb7-c9820344261a,Green Valley Early Childhood Center
d8714b00-6f22-11f0-9fb7-c9820344261a,White Oak Elementary School
d872d1a0-6f22-11f0-9fb7-c9820344261a,Fairview Head Start
d874f480-6f22-11f0-9fb7-c9820344261a,Fairview Early Childhood Center
d8765410-6f22-11f0-9fb7-c9820344261a,Elmwood Elementary School
d8773e70-6f22-11f0-9fb7-c9820344261a,Fairview Elementary School
d87828d0-6f22-11f0-9fb7-c9820344261a,Black Bear Head Start
f9b50780-6f21-11f0-8e9a-05791d73c91b,Black Bear Early Childhood Center
f9b66710-6f21-11f0-8e9a-05791d73c91b,Stonegate Elementary School
f9b79f90-6f21-11f0-8e9a-05791d73c91b,Fernwood Head Start
f9b8b100-6f21-11f0-8e9a-05791d73c91b,Oceanview Early Childhood Center
f9ba1090-6f21-11f0-8e9a-05791d73c91b,Twin Peaks Head Start
f9bb7020-6f21-11f0-8e9a-05791d73c91b,Birchwood Early Childhood Center
