Assessment,Domain,Language
USGK/Library/Assessments/EN/ATL5aHeartsAndStars.asm,Executive Function,English
USGK/Library/Assessments/EN/ATL5bDayAndNight.asm,Executive Function,English
USGK/Library/Assessments/EN/ATL8ReverseOrderSequence.asm,Executive Function,English
USGK/Library/Assessments/EN/ATL9DimensionalCardSort.asm,Executive Function,English
USGK/Library/Assessments/EN/FTU.asm,,English
USGK/Library/Assessments/EN/LAN6Vocabulary.asm,Language,English
USGK/Library/Assessments/EN/LAN7aWordCategories.asm,Language,English
USGK/Library/Assessments/EN/LAN7bSharedCharacteristics.asm,Language,English
USGK/Library/Assessments/EN/LIT1aRhymeSyllable.asm,Literacy,English
USGK/Library/Assessments/EN/LIT1bBlendingAdding.asm,Literacy,English
USGK/Library/Assessments/EN/LIT1cAlliterationSegmenting.asm,Literacy,English
USGK/Library/Assessments/EN/LIT1dEncodingDecoding.asm,Literacy,English
USGK/Library/Assessments/EN/LIT2ConceptsOfPrint.asm,Literacy,English
USGK/Library/Assessments/EN/LIT3aLetterNames.asm,Literacy,English
USGK/Library/Assessments/EN/LIT3biConsonantSounds.asm,Literacy,English
USGK/Library/Assessments/EN/LIT3biiVowelSounds.asm,Literacy,English
USGK/Library/Assessments/EN/LIT4Retelling.asm,Literacy,English
USGK/Library/Assessments/EN/LIT5AnswerQuestions.asm,Literacy,English
USGK/Library/Assessments/EN/MAT10PositionOfObjectsInSpace.asm,Math,English
USGK/Library/Assessments/EN/MAT2Subitizing.asm,Math,English
USGK/Library/Assessments/EN/MAT3Count1By1.asm,Math,English
USGK/Library/Assessments/EN/MAT4MoreOrLess.asm,Math,English
USGK/Library/Assessments/EN/MAT5Numerals.asm,Math,English
USGK/Library/Assessments/EN/MAT6aAdd.asm,Math,English
USGK/Library/Assessments/EN/MAT6bSubtract.asm,Math,English
USGK/Library/Assessments/EN/MAT7Patterns.asm,Math,English
USGK/Library/Assessments/EN/MAT8Measurement.asm,Math,English
USGK/Library/Assessments/EN/MAT9Shapes.asm,Math,English
USGK/Library/Assessments/SP/ATL5aCorazonEstrella.asm,Executive Function,Spanish
USGK/Library/Assessments/SP/ATL5bDiaNoche.asm,Executive Function,Spanish
USGK/Library/Assessments/SP/ATL8SecuenciaInversa.asm,Executive Function,Spanish
USGK/Library/Assessments/SP/ATL9PensamientoFlexible.asm,Executive Function,Spanish
USGK/Library/Assessments/SP/FTU.asm,,Spanish
USGK/Library/Assessments/SP/LAN6Vocabulario.asm,Language,Spanish
USGK/Library/Assessments/SP/LAN7aCategoriasDePalabras.asm,Language,Spanish
USGK/Library/Assessments/SP/LAN7bCaracteristicasCompartidas.asm,Language,Spanish
USGK/Library/Assessments/SP/LIT1aSilabas.asm,Literacy,Spanish
USGK/Library/Assessments/SP/LIT1bFonemas.asm,Literacy,Spanish
USGK/Library/Assessments/SP/LIT1cAliteracion.asm,Literacy,Spanish
USGK/Library/Assessments/SP/LIT1dCodificacionDecodificacion.asm,Literacy,Spanish
USGK/Library/Assessments/SP/LIT2ConcocimientoDeLoImpreso.asm,Literacy,Spanish
USGK/Library/Assessments/SP/LIT3aNombresDeLetras.asm,Literacy,Spanish
USGK/Library/Assessments/SP/LIT3bSonidosDeLetras.asm,Literacy,Spanish
USGK/Library/Assessments/SP/LIT4RecontarHistorias.asm,Literacy,Spanish
USGK/Library/Assessments/SP/LIT5ResponderPreguntas.asm,Literacy,Spanish
USGK/Library/Assessments/SP/MAT10PosicionObjetosEspacio.asm,Math,Spanish
USGK/Library/Assessments/SP/MAT2Subitizar.asm,Math,Spanish
USGK/Library/Assessments/SP/MAT3Contar1a1.asm,Math,Spanish
USGK/Library/Assessments/SP/MAT4MasOMenos.asm,Math,Spanish
USGK/Library/Assessments/SP/MAT5Numerales.asm,Math,Spanish
USGK/Library/Assessments/SP/MAT6aSumar.asm,Math,Spanish
USGK/Library/Assessments/SP/MAT6bRestar.asm,Math,Spanish
USGK/Library/Assessments/SP/MAT7Patrones.asm,Math,Spanish
USGK/Library/Assessments/SP/MAT8Medir.asm,Math,Spanish
USGK/Library/Assessments/SP/MAT9Figuras.asm,Math,Spanish
